generation_index,avg_body_length,avg_fitness,avg_highest_fitness,total_highest_fitness
0.0,157.0,0.017626033392083598,1.0625516560866899,3.7023148558172125
1.0,158.892,0.03086530832919169,1.2246833009023774,3.7023148558172125
2.0,163.218,0.044089002622364065,1.335367326537114,3.7023148558172125
3.0,173.326,0.07224876560549975,1.5619236312952094,3.7023148558172125
4.0,189.668,0.10426592765519302,1.5981232665612983,3.7023148558172125
5.0,207.957,0.14513751232829775,1.7919155630303971,3.7023148558172125
6.0,222.032,0.20240415175741483,2.1830540099521007,3.7023148558172125
7.0,235.982,0.2524465717769184,2.202511201935096,3.7023148558172125
8.0,246.771,0.3135148280360198,2.3185190847556054,3.7023148558172125
9.0,257.562,0.373302768155072,2.318752067479651,3.7023148558172125
10.0,267.241,0.43932339685694194,2.5347222489326464,4.554275702759199
11.0,283.126,0.5098157915675924,2.699893956401101,4.554275702759199
12.0,292.856,0.5723947424472268,2.706149047691014,4.554275702759199
13.0,304.313,0.6368355564058661,2.7441410686686964,4.554275702759199
14.0,312.573,0.706547434260162,3.0090584673400738,4.554275702759199
15.0,318.476,0.7750639187577233,3.0090584673400738,4.554275702759199
16.0,320.346,0.8385850725553757,3.0090584673400738,4.554275702759199
17.0,327.218,0.9195557999620466,3.0090584673400738,4.554275702759199
18.0,337.196,0.971271074097846,3.028839733421727,4.554275702759199
19.0,343.939,1.0251557710783163,3.0725969736698104,4.554275702759199
20.0,352.443,1.0784011402558435,3.0840863173993234,4.554275702759199
21.0,362.113,1.1414583160608003,3.0840863173993234,4.554275702759199
22.0,376.719,1.1973224906879638,3.0840863173993234,4.554275702759199
23.0,386.234,1.252815708796847,3.1503495590120165,4.554275702759199
24.0,401.44,1.3271633384731776,3.184742176744317,4.554275702759199
25.0,416.377,1.398608445364319,3.422474984190236,4.554275702759199
26.0,428.115,1.4832592827754645,3.6538697862174656,5.8427438289998
27.0,433.648,1.5375431858108335,3.6538697862174656,5.8427438289998
28.0,455.618,1.6082666468761726,3.6538697862174656,5.8427438289998
29.0,467.948,1.6691295240933675,3.6538697862174656,5.8427438289998
30.0,471.157,1.7266070117596104,3.6538697862174656,5.8427438289998
31.0,468.583,1.79671454110022,3.7389365569631106,5.8427438289998
32.0,479.276,1.885222464364459,3.761472339388654,5.8427438289998
33.0,494.692,1.9625767707697694,3.761472339388654,5.8427438289998
34.0,507.873,2.0443335087792813,3.852238360690218,5.8427438289998
35.0,514.814,2.117073057240562,3.8889909392331785,5.8427438289998
36.0,524.827,2.159339305683468,3.8889909392331785,5.8427438289998
37.0,527.604,2.229101870402305,3.9672656018465142,5.8427438289998
38.0,534.541,2.3314088946064317,3.9672656018465142,5.8427438289998
39.0,539.065,2.3997514322862976,3.9672656018465142,5.8427438289998
40.0,541.823,2.52185316051959,4.026919587230183,5.8427438289998
41.0,535.695,2.6348473509089305,4.037804400244551,5.8427438289998
42.0,540.25,2.691046083439551,4.037804400244551,5.8427438289998
43.0,550.515,2.742416377557246,4.100410128257747,5.8427438289998
44.0,558.606,2.8057607793585553,4.136921620137212,5.8427438289998
45.0,571.496,2.862750145808092,4.207413619729306,5.8427438289998
46.0,590.342,2.910674974268895,4.207413619729306,5.8427438289998
47.0,599.39,2.989163846181359,4.233308746345935,5.8427438289998
48.0,611.26,3.024968194335696,4.237677103054158,5.8427438289998
49.0,633.798,3.032601525711271,4.237677103054158,5.8427438289998
50.0,656.959,3.03894992550037,4.237677103054158,5.8427438289998
51.0,668.829,3.0870914956575266,4.237677103054158,5.8427438289998
52.0,689.888,3.1097200123285647,4.239981503795186,5.8427438289998
53.0,704.518,3.1395912499759886,4.239981503795186,5.8427438289998
54.0,714.602,3.163788492008278,4.239981503795186,5.8427438289998
55.0,717.382,3.159540233445575,4.248606821051393,5.8427438289998
56.0,719.599,3.202330981970194,4.248606821051393,5.8427438289998
57.0,723.627,3.2411071756094407,4.248606821051393,5.8427438289998
58.0,737.526,3.2524733500886964,4.266567653458627,5.8427438289998
59.0,750.453,3.2747315573396114,4.266567653458627,5.8427438289998
60.0,758.816,3.295837350083002,4.266567653458627,5.8427438289998
61.0,759.534,3.3061736942798903,4.266567653458627,5.8427438289998
62.0,769.606,3.3106833517932928,4.266567653458627,5.8427438289998
63.0,762.619,3.3099830895833158,4.327363058972726,5.8427438289998
64.0,758.509,3.3370032142814736,4.327363058972726,5.8427438289998
65.0,760.691,3.3241525318597174,4.327363058972726,5.8427438289998
66.0,742.406,3.329776827386148,4.327363058972726,5.8427438289998
67.0,752.824,3.37367576754222,4.485531572407813,5.889986492171985
68.0,766.614,3.3393752558266825,4.485531572407813,5.889986492171985
69.0,782.009,3.383976084291872,4.561546479349706,5.889986492171985
70.0,782.428,3.355441157558029,4.6158369861039965,5.9508363316317325
71.0,800.907,3.3609147674407054,4.6158369861039965,5.9508363316317325
72.0,811.038,3.3964123222466176,4.7253074262909,6.98469089404102
73.0,829.666,3.4342376583632035,4.7253074262909,6.98469089404102
74.0,854.016,3.4441812030318975,4.7253074262909,6.98469089404102
75.0,854.44,3.4629756275976096,4.7253074262909,6.98469089404102
76.0,842.757,3.4516855764404735,4.7253074262909,6.98469089404102
77.0,853.918,3.4690108106517017,4.7253074262909,6.98469089404102
78.0,851.13,3.4553239842921317,4.7253074262909,6.98469089404102
79.0,849.742,3.46211932066227,4.7253074262909,6.98469089404102
80.0,851.559,3.4824590570241742,4.7253074262909,6.98469089404102
81.0,842.138,3.4931703600966055,4.7253074262909,6.98469089404102
82.0,823.083,3.5303414666262314,4.730907527896399,6.98469089404102
83.0,825.449,3.5418684977253383,4.730907527896399,6.98469089404102
84.0,826.573,3.552705251644588,4.730907527896399,6.98469089404102
85.0,818.031,3.5224769431047034,4.730907527896399,6.98469089404102
86.0,809.752,3.5719558718011246,4.730907527896399,6.98469089404102
87.0,839.855,3.5947896344703762,4.730907527896399,6.98469089404102
88.0,840.438,3.6069601802210447,4.730907527896399,6.98469089404102
89.0,839.849,3.6343335074935985,4.730907527896399,6.98469089404102
90.0,851.612,3.6374538505944667,4.773591257972522,6.98469089404102
91.0,830.154,3.656341717227805,4.850857970786212,6.98469089404102
92.0,838.518,3.630521474709411,4.850857970786212,6.98469089404102
93.0,834.355,3.6558517443922827,4.850857970786212,6.98469089404102
94.0,841.057,3.676399309489034,4.8800291541486605,6.98469089404102
95.0,839.919,3.6698770923915096,4.8800291541486605,6.98469089404102
96.0,858.846,3.686272841977131,4.8800291541486605,6.98469089404102
97.0,855.526,3.7186793480244305,4.8800291541486605,6.98469089404102
98.0,869.345,3.704409568851217,4.8800291541486605,6.98469089404102
99.0,871.389,3.6824548846891654,4.8800291541486605,6.98469089404102
100.0,878.498,3.7621159924087366,4.8800291541486605,6.98469089404102
101.0,872.843,3.7657073117303845,4.8800291541486605,6.98469089404102
102.0,881.807,3.8002171285124238,4.8800291541486605,6.98469089404102
103.0,881.081,3.790237808073485,4.8800291541486605,6.98469089404102
104.0,888.197,3.827688046797391,4.8800291541486605,6.98469089404102
105.0,895.207,3.8262887329395383,4.906424235670376,6.98469089404102
106.0,901.303,3.829979002933099,4.906424235670376,6.98469089404102
107.0,901.512,3.868346505238517,4.906424235670376,6.98469089404102
108.0,913.127,3.8869185404102993,4.906424235670376,6.98469089404102
109.0,923.96,3.902160010429229,5.123770427510118,7.248610349433621
110.0,937.329,3.948672922165571,5.123770427510118,7.248610349433621
111.0,932.484,3.9436726904691,5.144278740064172,7.248610349433621
112.0,922.789,3.9771544892140724,5.144278740064172,7.248610349433621
113.0,929.879,3.9807137268241335,5.144278740064172,7.248610349433621
114.0,945.434,3.9777746187860274,5.144278740064172,7.248610349433621
115.0,960.67,4.013816887600019,5.144278740064172,7.248610349433621
116.0,950.872,4.0343451594148565,5.197374311446206,7.248610349433621
117.0,968.555,4.071933445363028,5.197374311446206,7.248610349433621
118.0,959.302,4.078128539319799,5.197374311446206,7.248610349433621
119.0,967.648,4.111083525912568,5.2528621304159095,7.248610349433621
120.0,969.567,4.143458223568699,5.2528621304159095,7.248610349433621
121.0,990.956,4.178774841416861,5.2528621304159095,7.248610349433621
122.0,1007.161,4.1804195725058175,5.2528621304159095,7.248610349433621
123.0,1015.096,4.207217633800096,5.2528621304159095,7.248610349433621
124.0,1021.849,4.241907593062175,5.2528621304159095,7.248610349433621
125.0,1028.708,4.290438892792263,5.2528621304159095,7.248610349433621
126.0,1044.775,4.3047453186656615,5.2528621304159095,7.248610349433621
127.0,1083.258,4.293482833792603,5.2528621304159095,7.248610349433621
128.0,1091.952,4.306514315920101,5.2528621304159095,7.248610349433621
129.0,1099.31,4.335677929896882,5.2528621304159095,7.248610349433621
130.0,1129.11,4.360538926808583,5.2528621304159095,7.248610349433621
131.0,1139.521,4.374687832485891,5.292107831921768,7.248610349433621
132.0,1139.456,4.398382124882999,5.292107831921768,7.248610349433621
133.0,1175.051,4.415341343410628,5.4691317492326466,7.248610349433621
134.0,1165.528,4.447119378854964,5.4691317492326466,7.248610349433621
135.0,1178.921,4.452788074533087,5.4691317492326466,7.248610349433621
136.0,1196.03,4.456155218662362,5.4691317492326466,7.248610349433621
137.0,1223.208,4.500062574162981,5.4691317492326466,7.248610349433621
138.0,1217.542,4.5464691294185435,5.4691317492326466,7.248610349433621
139.0,1195.442,4.541876015379659,5.4691317492326466,7.248610349433621
140.0,1172.965,4.571235366938444,5.4691317492326466,7.248610349433621
141.0,1192.506,4.5807971421481355,5.478501713202064,7.342309989127798
142.0,1203.465,4.587574801448724,5.478501713202064,7.342309989127798
143.0,1226.402,4.542997886007447,5.478501713202064,7.342309989127798
144.0,1225.563,4.563795714978077,5.478501713202064,7.342309989127798
145.0,1245.383,4.596074039304854,5.478501713202064,7.342309989127798
146.0,1236.67,4.604089445358248,5.478501713202064,7.342309989127798
147.0,1238.672,4.618060032715555,5.478501713202064,7.342309989127798
148.0,1247.148,4.6428322349032936,5.478501713202064,7.342309989127798
149.0,1259.699,4.632213932342693,5.478501713202064,7.342309989127798
150.0,1250.563,4.6460955691503285,5.478501713202064,7.342309989127798
151.0,1259.782,4.666887771904336,5.506131328100302,7.342309989127798
152.0,1253.671,4.666040001010281,5.585059783652932,7.342309989127798
153.0,1282.145,4.642333923593257,5.585059783652932,7.342309989127798
154.0,1298.785,4.672233770959525,5.672717934622481,8.21889149882329
155.0,1334.05,4.67789578038947,5.672717934622481,8.21889149882329
156.0,1348.438,4.696853144427466,5.672717934622481,8.21889149882329
157.0,1328.76,4.688008052228997,5.672717934622481,8.21889149882329
158.0,1335.198,4.701842764563248,5.672717934622481,8.21889149882329
159.0,1357.958,4.687058095257944,5.726011046937058,8.21889149882329
160.0,1384.343,4.718154869180715,5.726011046937058,8.21889149882329
161.0,1371.568,4.737529997399998,5.726011046937058,8.21889149882329
162.0,1356.885,4.729231011020593,5.726011046937058,8.21889149882329
163.0,1394.963,4.754480487139575,5.726011046937058,8.21889149882329
164.0,1381.785,4.74911724805999,5.726011046937058,8.21889149882329
165.0,1389.859,4.742035007419086,5.726011046937058,8.21889149882329
166.0,1402.783,4.811621356466641,5.726011046937058,8.21889149882329
167.0,1388.046,4.781037493635905,5.726011046937058,8.21889149882329
168.0,1406.156,4.756204898967052,5.811127017313207,9.070051202584779
