generation_index,experiment_id,avg_body_length,avg_fitness,avg_highest_fitness,total_highest_fitness,std,nucleotide_usage
200.0,1,309.44,4.105287762491436,4.374798109499501,4.374798109499501,0.7915302914646425,0.9594759120414301
200.0,2,814.38,11.03396823554795,11.662138062134991,11.662138062134991,0.7122412944842135,0.9430252580877447
200.0,3,496.8,8.523740099842689,9.147028284318779,9.147028284318779,1.4560500898436464,0.9953426193886054
200.0,4,404.68,5.257514338672322,5.457537252252568,5.457537252252568,0.8936621513143153,0.9534392582352463
200.0,5,404.75,3.5691216120355516,4.682059407098261,4.682059407098261,1.7847949468131084,0.9770422996930188
200.0,6,394.58,5.9188955253320765,6.782652707109747,6.782652707109747,1.8378944414740221,0.9767886237492056
200.0,7,545.7,3.618759116154057,3.7842762421227576,3.7842762421227576,0.6650268533446283,0.9737357846161753
200.0,8,746.74,12.226299891105489,12.226299891105489,12.226299891105489,0.0,0.9557051945423178
200.0,9,590.97,10.21671579569313,10.317901885524986,10.317901885524986,1.0118608983185526,0.9781961176711033
200.0,10,387.54,8.230161894397076,8.399402473103194,8.399402473103194,1.0754546484532836,0.9529810461956159
