generation_index,avg_body_length,avg_fitness,avg_highest_fitness,total_highest_fitness,std,nucleotide_usage,crossover
0.0,157.0,0.017626033392083598,1.0625516560866899,3.7023148558172125,0.11962260207854536,0.945312101910828,standard
1.0,158.892,0.03086530832919169,1.2246833009023774,3.7023148558172125,0.15124654346347322,0.9503177566323907,standard
2.0,163.218,0.044089002622364065,1.335367326537114,3.7023148558172125,0.18226045592575243,0.953459193384679,standard
3.0,173.326,0.07224876560549975,1.5619236312952094,3.7023148558172125,0.23585465548773288,0.9561568172070848,standard
4.0,189.668,0.10426592765519302,1.5981232665612983,3.7023148558172125,0.26218467098803533,0.9584727983803433,standard
5.0,207.957,0.14513751232829775,1.7919155630303971,3.7023148558172125,0.29374432727216676,0.9600136628655198,standard
6.0,222.032,0.20240415175741483,2.1830540099521007,3.7023148558172125,0.3430983293692197,0.960507555916836,standard
7.0,235.982,0.2524465717769184,2.202511201935096,3.7023148558172125,0.3640491888309353,0.9611042519792105,standard
8.0,246.771,0.3135148280360198,2.3185190847556054,3.7023148558172125,0.3896734228922024,0.9615995503427498,standard
9.0,257.562,0.373302768155072,2.318752067479651,3.7023148558172125,0.3971018597594122,0.9614524844044752,standard
10.0,267.241,0.43932339685694194,2.5347222489326464,4.554275702759199,0.423512329451269,0.9616148747429428,standard
11.0,283.126,0.5098157915675924,2.699893956401101,4.554275702759199,0.4407031376393744,0.9616598483059393,standard
12.0,292.856,0.5723947424472268,2.706149047691014,4.554275702759199,0.45832595343490123,0.9617225925581968,standard
13.0,304.313,0.6368355564058661,2.7441410686686964,4.554275702759199,0.45839688539626744,0.9617463300534902,standard
14.0,312.573,0.706547434260162,3.0090584673400738,4.554275702759199,0.48595065297856965,0.961722183408551,standard
15.0,318.476,0.7750639187577233,3.0090584673400738,4.554275702759199,0.5015555197380382,0.9606915629037627,standard
16.0,320.346,0.8385850725553757,3.0090584673400738,4.554275702759199,0.4865545693106549,0.9602833657889677,standard
17.0,327.218,0.9195557999620466,3.0090584673400738,4.554275702759199,0.4764028757727787,0.9602363364788526,standard
18.0,337.196,0.971271074097846,3.028839733421727,4.554275702759199,0.48534658552716725,0.9601362164023874,standard
19.0,343.939,1.0251557710783163,3.0725969736698104,4.554275702759199,0.4931049830708256,0.959880440380053,standard
20.0,352.443,1.0784011402558435,3.0840863173993234,4.554275702759199,0.49956194781835694,0.9600966662892344,standard
21.0,362.113,1.1414583160608003,3.0840863173993234,4.554275702759199,0.48779207146668657,0.9605042419167513,standard
22.0,376.719,1.1973224906879638,3.0840863173993234,4.554275702759199,0.49313123685174043,0.9611842998570777,standard
23.0,386.234,1.252815708796847,3.1503495590120165,4.554275702759199,0.5119947294842311,0.9613338727400618,standard
24.0,401.44,1.3271633384731776,3.184742176744317,4.554275702759199,0.5263746408705369,0.9612608140040454,standard
25.0,416.377,1.398608445364319,3.422474984190236,4.554275702759199,0.5550593823126038,0.9617486331709512,standard
26.0,428.115,1.4832592827754645,3.6538697862174656,5.8427438289998,0.5872415897103129,0.9621579820962997,standard
27.0,433.648,1.5375431858108335,3.6538697862174656,5.8427438289998,0.6053328289073153,0.9621205655545504,standard
28.0,455.618,1.6082666468761726,3.6538697862174656,5.8427438289998,0.6027367946978471,0.9618476521137791,standard
29.0,467.948,1.6691295240933675,3.6538697862174656,5.8427438289998,0.6148942987471326,0.9620424711767871,standard
30.0,471.157,1.7266070117596104,3.6538697862174656,5.8427438289998,0.6180399609300423,0.9619043010521181,standard
31.0,468.583,1.79671454110022,3.7389365569631106,5.8427438289998,0.6414703178448179,0.96151389836197,standard
32.0,479.276,1.885222464364459,3.761472339388654,5.8427438289998,0.6630660320749693,0.961498041698437,standard
33.0,494.692,1.9625767707697694,3.761472339388654,5.8427438289998,0.6573298718072947,0.9615928480441116,standard
34.0,507.873,2.0443335087792813,3.852238360690218,5.8427438289998,0.6375544983608137,0.9614019485736266,standard
35.0,514.814,2.117073057240562,3.8889909392331785,5.8427438289998,0.6179296089525131,0.9612258522418154,standard
