generation_index,avg_body_length,avg_fitness,avg_highest_fitness,total_highest_fitness,std,nucleotide_usage,crossover
0.0,157.0,0.015577543059911879,0.7853368812299524,1.8358071021023628,0.09903690264435364,0.9443312101910828,controlled
1.0,161.909,0.034375411780394355,1.1731980706117484,2.493378331091279,0.1504045783410884,0.9506651552751417,controlled
2.0,166.921,0.06288412537304651,1.4600765112774305,2.493378331091279,0.2081782920736919,0.9552635730523158,controlled
3.0,172.333,0.11618112294183174,1.7252145042848908,2.5360542639589205,0.293032962965366,0.9585115824355549,controlled
4.0,178.235,0.18080236540754369,1.7252145042848908,2.5360542639589205,0.3356613523511494,0.9609707646556457,controlled
5.0,184.439,0.2797784931990495,2.1815460053396576,4.595132399967686,0.4063330501844045,0.962545781981293,controlled
6.0,190.013,0.3844769415260946,2.462249184961228,4.595132399967686,0.46116710927502413,0.9634112588746356,controlled
7.0,194.845,0.5104173121195686,3.1575942410986086,5.4303218183855595,0.5313612816774181,0.9639741734923808,controlled
8.0,198.955,0.6409596557626369,3.162425357783632,5.4303218183855595,0.5579730183007728,0.9635166345039113,controlled
9.0,203.2,0.8182195720711176,3.9435032978582494,6.36774533803962,0.6387689428017629,0.9633462203104932,controlled
10.0,207.129,1.0289613005690168,4.008379007459913,6.36774533803962,0.7047541709210071,0.9633407654670905,controlled
11.0,211.333,1.2144499172811736,4.020789939514881,6.36774533803962,0.7526443517021326,0.9637365462798093,controlled
12.0,216.015,1.4582030802981745,4.372165874359882,7.112208478607565,0.8212678601963272,0.9641798710526202,controlled
13.0,220.433,1.6868169583249946,4.418717369503442,7.112208478607565,0.8620888517292498,0.9642575012798806,controlled
14.0,224.735,1.9377684744188495,4.422387219495173,7.112208478607565,0.8558186198414381,0.9642993249835412,controlled
15.0,228.861,2.122639072668112,4.456186904547486,7.112208478607565,0.8881843143627054,0.9649060415366821,controlled
16.0,231.953,2.3312203646340524,4.530107650450879,7.112208478607565,0.8768576121784133,0.9655692563539192,controlled
17.0,236.127,2.510500259835729,4.920666345223382,10.317901885524986,0.8289522887654619,0.9660154076806713,controlled
18.0,240.016,2.662943022614899,5.328111850517723,10.317901885524986,0.8947036561051696,0.966517149360327,controlled
19.0,243.835,2.8557344101349504,5.328111850517723,10.317901885524986,0.9061343042058911,0.967154760945215,controlled
20.0,248.417,3.0767518014036304,5.34732334059279,10.317901885524986,0.9180556093238739,0.9678294132357022,controlled
21.0,252.867,3.285306861027482,5.896116253087299,10.317901885524986,0.9674426062615341,0.9686901932034332,controlled
22.0,256.951,3.4880979156569243,5.896116253087299,10.317901885524986,0.9451195952499424,0.9687972671493609,controlled
23.0,261.885,3.7492059143737895,5.896116253087299,10.317901885524986,0.9611464550108287,0.9690894559943458,controlled
24.0,267.069,3.987196932616823,5.9938680609117405,10.317901885524986,0.9627569688391964,0.9690045647479354,controlled
25.0,271.1,4.218062531467307,5.9938680609117405,10.317901885524986,0.9091731990096418,0.9691058695837845,controlled
26.0,274.557,4.366676646167037,5.9938680609117405,10.317901885524986,0.95311132499673,0.9691570481780926,controlled
27.0,277.808,4.529588248300788,6.050715572829191,10.46337464448024,0.7438484104010056,0.9693787032800617,controlled
28.0,280.407,4.597511031851597,6.11281250467625,10.46337464448024,0.790620923400205,0.9694754046534575,controlled
29.0,283.29,4.7159130164257945,6.270283805120052,10.46337464448024,0.7564624719137043,0.9698545037767785,controlled
30.0,286.476,4.839629028092699,6.270283805120052,10.46337464448024,0.7232677686357813,0.9700181258118977,controlled
31.0,289.602,4.923878858480078,6.270283805120052,10.46337464448024,0.7984550586854607,0.9701879929471883,controlled
32.0,293.428,5.03517033027906,6.270283805120052,10.46337464448024,0.732456777593348,0.9700518311306711,controlled
33.0,296.218,5.131171021691603,6.270283805120052,10.46337464448024,0.7694398000149277,0.9700776288142566,controlled
34.0,298.761,5.218956174650003,6.3214549448872415,10.46337464448024,0.7691376967533948,0.9701309885632493,controlled
35.0,301.352,5.2957453819740765,6.351824693411788,10.46337464448024,0.8028709323765278,0.9700852517030881,controlled
36.0,303.593,5.347731534626096,6.351824693411788,10.46337464448024,0.7313465858202091,0.9701076582933014,controlled
37.0,305.435,5.404140090946837,6.351824693411788,10.46337464448024,0.7781383039167347,0.9701413564580327,controlled
38.0,307.392,5.478946270860846,6.4499419164719995,10.46337464448024,0.6521119685172119,0.9699596133341526,controlled
39.0,310.01,5.4951067071689925,6.4499419164719995,10.46337464448024,0.8460917556682663,0.9700233402218355,controlled
40.0,312.244,5.572688503465395,6.4499419164719995,10.46337464448024,0.7709923852898574,0.9699642815769556,controlled
41.0,314.631,5.597678052635492,6.540736798065276,10.46337464448024,0.7019118421597644,0.9701707088535629,controlled
42.0,317.035,5.592080246737348,6.540736798065276,10.46337464448024,0.8845504322672643,0.9702955649718112,controlled
43.0,319.042,5.623920272338384,6.540736798065276,10.46337464448024,0.8065019003697562,0.9703162011007174,controlled
44.0,320.716,5.6334265099749175,6.684725171609938,10.46337464448024,0.9925211181740686,0.9704963574842229,controlled
45.0,322.668,5.697528533124763,6.684725171609938,10.46337464448024,0.8790645442745502,0.970704742740193,controlled
46.0,324.805,5.737163731366783,6.684725171609938,10.46337464448024,0.7535490174903092,0.9709582639812309,controlled
47.0,326.477,5.764388489237618,6.684725171609938,10.46337464448024,0.7496786559833479,0.9712100650582021,controlled
48.0,327.839,5.75429102942316,6.684725171609938,10.46337464448024,0.8747926823820573,0.9713160120304474,controlled
49.0,329.311,5.800146175903251,6.684725171609938,10.46337464448024,0.7979233475871593,0.9711613334498439,controlled
50.0,330.963,5.8541875403347765,6.684725171609938,10.46337464448024,0.7134689362395369,0.9712007361272825,controlled
51.0,332.67,5.842348707152324,6.684725171609938,10.46337464448024,0.8253228538767705,0.9711159352682436,controlled
52.0,333.829,5.904023252397666,6.838650326863636,10.46337464448024,0.8005722008150064,0.9710849528788701,controlled
53.0,335.489,5.9090643885906715,6.838650326863636,10.46337464448024,0.815149716830674,0.971165779538182,controlled
54.0,336.904,5.951123277939622,6.838650326863636,10.46337464448024,0.7105361514183637,0.9710810991728321,controlled
55.0,339.391,5.9128737256276,6.838650326863636,10.46337464448024,0.9070429236560369,0.9709594405926295,controlled
56.0,340.584,5.9273446598983535,6.838650326863636,10.46337464448024,0.8962775031156325,0.9710742517954289,controlled
57.0,342.067,5.984116647226307,6.838650326863636,10.46337464448024,0.8756043298892933,0.9711298646813509,controlled
58.0,343.807,6.009818708371343,6.838650326863636,10.46337464448024,0.7309768240418056,0.9710265205598995,controlled
59.0,345.281,5.9890149394858945,7.01494285152616,12.226299891105489,0.960521099011506,0.9708933924517579,controlled
60.0,346.24,6.050847251083434,7.01494285152616,12.226299891105489,0.8006967490287329,0.970825268373405,controlled
61.0,347.99,6.02883071621614,7.01494285152616,12.226299891105489,0.9529644488834147,0.9708584755783372,controlled
62.0,349.283,6.045084942076476,7.01494285152616,12.226299891105489,1.013476834883792,0.9708631453521298,controlled
63.0,351.053,6.086975627040136,7.01494285152616,12.226299891105489,0.9600220201504318,0.9708570677827285,controlled
64.0,353.237,6.1102473464971645,7.01494285152616,12.226299891105489,1.0563065892163286,0.9709115970709373,controlled
65.0,354.936,6.132934009815368,7.01494285152616,12.226299891105489,1.1230741684998735,0.9707632100144827,controlled
66.0,356.942,6.2203748746247705,7.089443943143,12.226299891105489,0.9772269693794394,0.9707889298088018,controlled
67.0,359.018,6.244749561930988,7.089443943143,12.226299891105489,1.0346441142984142,0.9707544271308584,controlled
68.0,360.63,6.309554413923266,7.089443943143,12.226299891105489,0.947461697603979,0.9707512678716951,controlled
69.0,362.136,6.3535587027617035,7.089443943143,12.226299891105489,0.8520824378330296,0.9707231294092002,controlled
70.0,363.267,6.3602524867293,7.089443943143,12.226299891105489,0.8762582357854964,0.9706261140645686,controlled
71.0,364.033,6.360805340489414,7.089443943143,12.226299891105489,0.928253240430363,0.9706847711627631,controlled
72.0,364.748,6.393563214291966,7.089443943143,12.226299891105489,0.9718012939979233,0.9706665724666845,controlled
73.0,365.433,6.38151488200342,7.089443943143,12.226299891105489,1.0490605813132432,0.970577523023231,controlled
74.0,367.022,6.442603415306616,7.142249121424122,12.226299891105489,0.7853553680656999,0.9704455632357772,controlled
75.0,367.941,6.396535921660368,7.142249121424122,12.226299891105489,1.0336466766631647,0.9702709785213447,controlled
76.0,368.936,6.400564043854027,7.142249121424122,12.226299891105489,0.9764275805126915,0.9701812359892263,controlled
77.0,369.957,6.408905749753237,7.149038075302217,12.226299891105489,1.0646353646869886,0.9701777154326807,controlled
78.0,371.096,6.448268325085695,7.149038075302217,12.226299891105489,1.035278580456521,0.9700764811626255,controlled
79.0,372.192,6.474998103390548,7.149038075302217,12.226299891105489,0.909959472650582,0.9702276991479651,controlled
80.0,373.89,6.497482864132335,7.149038075302217,12.226299891105489,0.9165921336623633,0.9699648284606371,controlled
81.0,374.948,6.4989768032178965,7.149038075302217,12.226299891105489,0.9109288291276355,0.9699729960961435,controlled
82.0,375.67,6.508400417046767,7.179366597449061,12.226299891105489,0.9748788967638367,0.969948368204477,controlled
83.0,377.123,6.521284584815141,7.179366597449061,12.226299891105489,0.9744912972509803,0.9699109469142467,controlled
84.0,378.347,6.544216361964954,7.179366597449061,12.226299891105489,0.9777167667104183,0.9697778212113065,controlled
85.0,379.262,6.544819452797778,7.179366597449061,12.226299891105489,1.0546614075269145,0.969700812541719,controlled
86.0,380.498,6.560539653593621,7.249999535370044,12.226299891105489,0.9661401338107968,0.9696517612102672,controlled
87.0,381.154,6.569204544582579,7.249999535370044,12.226299891105489,0.9576898869010463,0.9696035512109988,controlled
88.0,382.725,6.554751672625796,7.249999535370044,12.226299891105489,1.0454254668739889,0.9693471945456932,controlled
89.0,384.399,6.57104900752467,7.249999535370044,12.226299891105489,1.0732209019615864,0.9695424996297844,controlled
90.0,385.824,6.574584347326145,7.249999535370044,12.226299891105489,1.1081511949113998,0.9694791027343476,controlled
91.0,386.865,6.579730153340988,7.249999535370044,12.226299891105489,1.1343996827256446,0.9694598208601086,controlled
92.0,387.974,6.60732991929068,7.249999535370044,12.226299891105489,1.1013030551574647,0.9694827024715276,controlled
93.0,389.15,6.64670628910005,7.249999535370044,12.226299891105489,0.9933664480964914,0.9693202310300003,controlled
94.0,390.245,6.664055517500227,7.249999535370044,12.226299891105489,0.995198767861544,0.9692981458916349,controlled
95.0,392.157,6.666995887774608,7.249999535370044,12.226299891105489,0.9502099390352108,0.9693459506281481,controlled
96.0,394.125,6.722252482256618,7.249999535370044,12.226299891105489,0.9095273983157272,0.9692927748111441,controlled
97.0,395.854,6.727286856277427,7.273192571555367,12.226299891105489,1.0041232515670393,0.9691653562002058,controlled
98.0,398.062,6.737587133104515,7.273192571555367,12.226299891105489,0.9964016477160199,0.9692273263035046,controlled
99.0,400.104,6.721020543757886,7.273192571555367,12.226299891105489,1.212111606373449,0.9692992436593642,controlled
100.0,400.952,6.793988467482966,7.273192571555367,12.226299891105489,0.972122438038479,0.9693152790166658,controlled
101.0,402.517,6.797053332095334,7.273192571555367,12.226299891105489,1.0559888092770144,0.9693602037543197,controlled
102.0,404.335,6.817981897340829,7.276661362285944,12.226299891105489,1.0243487676144247,0.9693696722017314,controlled
103.0,406.155,6.854393995362525,7.276661362285944,12.226299891105489,0.8869079531917584,0.969175082593653,controlled
104.0,408.092,6.878984436950067,7.276661362285944,12.226299891105489,0.8808594312450855,0.9687902720097995,controlled
105.0,409.622,6.873588102124792,7.276661362285944,12.226299891105489,1.0488124298608446,0.9686358973140687,controlled
106.0,411.568,6.867789241996947,7.276661362285944,12.226299891105489,0.9956820531550883,0.9684277627478168,controlled
107.0,413.101,6.89558191206967,7.276661362285944,12.226299891105489,0.8669856439169543,0.9681623732670402,controlled
108.0,414.778,6.87268111021329,7.276661362285944,12.226299891105489,1.0745564411387876,0.9680582282434371,controlled
109.0,415.457,6.858181206028454,7.276661362285944,12.226299891105489,1.0897519436353904,0.9680689943458866,controlled
110.0,416.279,6.859799626162028,7.2883238975215505,12.226299891105489,1.067135212840034,0.9679256952643969,controlled
111.0,416.743,6.898648666525234,7.2883238975215505,12.226299891105489,0.9311774924979713,0.9679715840372208,controlled
112.0,417.589,6.880949417037396,7.2883238975215505,12.226299891105489,1.0459775734401402,0.9678553994368688,controlled
113.0,418.245,6.889494628473046,7.29699511151837,12.226299891105489,1.0487568269325487,0.9677993696390262,controlled
114.0,418.957,6.860947765707421,7.29699511151837,12.226299891105489,1.098106238220873,0.967813341368103,controlled
115.0,420.101,6.9023166563473675,7.29699511151837,12.226299891105489,1.0768939513976616,0.9678183970586784,controlled
116.0,421.195,6.888221697678512,7.29699511151837,12.226299891105489,1.1119346334333748,0.9677701805929794,controlled
117.0,421.933,6.936173824793401,7.314338051547808,12.226299891105489,0.7994399411178195,0.9677398344455962,controlled
118.0,422.521,6.909957437780534,7.314338051547808,12.226299891105489,0.9864456069098744,0.9676196301765313,controlled
119.0,423.528,6.888553218976807,7.314338051547808,12.226299891105489,1.044282690827373,0.9676852908075986,controlled
120.0,424.4,6.8575829445842515,7.314338051547808,12.226299891105489,1.1440978228561551,0.9676773526783042,controlled
121.0,425.018,6.8938761176857595,7.314338051547808,12.226299891105489,0.9567099153645053,0.9676581324312191,controlled
122.0,426.213,6.890486435813351,7.314338051547808,12.226299891105489,0.9859308236407224,0.9675188149851517,controlled
123.0,426.892,6.894062543131974,7.314338051547808,12.226299891105489,0.942478416739131,0.967424515931414,controlled
124.0,428.078,6.860268811428096,7.392983854759458,12.226299891105489,1.058922088317255,0.9675544879428986,controlled
125.0,428.775,6.822357204242872,7.392983854759458,12.226299891105489,1.272765453737144,0.9674717569998319,controlled
126.0,430.212,6.877407504140282,7.392983854759458,12.226299891105489,0.9237764121432791,0.9672123140239863,controlled
127.0,430.842,6.875932067573687,7.392983854759458,12.226299891105489,1.0867817353550664,0.9672919343434399,controlled
128.0,431.737,6.885710617680633,7.392983854759458,12.226299891105489,1.1120345334017585,0.9672047746897082,controlled
129.0,432.557,6.89220752022163,7.392983854759458,12.226299891105489,1.110648051732799,0.967159046672446,controlled
130.0,433.081,6.877192852161214,7.392983854759458,12.226299891105489,1.1361374534678415,0.9671433980644327,controlled
131.0,434.227,6.8982573403216945,7.392983854759458,12.226299891105489,1.033245509300336,0.9671881811922658,controlled
132.0,434.983,6.896706397959524,7.392983854759458,12.226299891105489,1.027644234300038,0.9671620612334461,controlled
133.0,436.068,6.892228844487972,7.395286895448772,12.226299891105489,1.0372503827334563,0.9671187282922896,controlled
134.0,437.201,6.886763932637186,7.395286895448772,12.226299891105489,1.0823300253498191,0.9670454019203651,controlled
135.0,438.334,6.94618759423018,7.395286895448772,12.226299891105489,1.0239458628474178,0.9670841860509697,controlled
136.0,439.338,6.966321866653703,7.395286895448772,12.226299891105489,1.0172716821909218,0.9670662005684473,controlled
137.0,440.625,6.935197960553944,7.395286895448772,12.226299891105489,1.1079070705000547,0.966927902370999,controlled
138.0,441.435,6.949340009931529,7.395286895448772,12.226299891105489,1.1038695183326857,0.9669612155281445,controlled
139.0,442.603,6.986465743115132,7.395286895448772,12.226299891105489,1.0286634258678444,0.96692907146851,controlled
140.0,443.245,6.985455061470441,7.395286895448772,12.226299891105489,1.0308235452561392,0.9668963477350847,controlled
141.0,443.911,6.982145830320903,7.395286895448772,12.226299891105489,0.9530502858165023,0.9668316287644896,controlled
142.0,445.314,6.948261066450919,7.395286895448772,12.226299891105489,1.2044753156886436,0.9667158318980418,controlled
143.0,446.575,6.987375832491209,7.395286895448772,12.226299891105489,0.9838289245364553,0.9668019899017672,controlled
144.0,447.487,6.97783616153676,7.395286895448772,12.226299891105489,0.9674992671466445,0.9667972415643902,controlled
145.0,448.709,6.968891594549794,7.395286895448772,12.226299891105489,1.0834322139280332,0.9667733104120809,controlled
146.0,449.474,6.95695304342984,7.395286895448772,12.226299891105489,1.1894855040876118,0.9667325097085586,controlled
147.0,450.243,7.024483052850314,7.395286895448772,12.226299891105489,1.0420172826227094,0.9668268064472836,controlled
148.0,451.619,7.02192704472688,7.395286895448772,12.226299891105489,1.0389439005679588,0.9666869205900506,controlled
149.0,452.378,7.016561732450633,7.395286895448772,12.226299891105489,1.0088153643108666,0.9666258611668671,controlled
150.0,453.028,7.004583945283079,7.395286895448772,12.226299891105489,1.0322862940091861,0.9667451456727248,controlled
151.0,454.379,6.986975087953611,7.437888218626172,12.226299891105489,1.1374335244110285,0.9667211088111514,controlled
152.0,455.324,7.038015659631058,7.437888218626172,12.226299891105489,1.0091069389642737,0.9667977705890227,controlled
153.0,456.631,7.044992465535172,7.437888218626172,12.226299891105489,0.9979013840521834,0.9668222656134041,controlled
154.0,458.084,7.0098899732639035,7.437888218626172,12.226299891105489,1.055363312677671,0.9667385250032846,controlled
155.0,458.861,6.997359215657271,7.437888218626172,12.226299891105489,1.1627011288349265,0.9667702400022271,controlled
156.0,460.458,7.04546045038473,7.437888218626172,12.226299891105489,1.1022657132097542,0.9669525917087958,controlled
157.0,461.916,7.067803070199508,7.437888218626172,12.226299891105489,1.0594855431289056,0.9668276267727881,controlled
158.0,463.54,7.064195523564232,7.437888218626172,12.226299891105489,1.0270908476208283,0.9669061573880793,controlled
159.0,464.284,7.103747185050192,7.437888218626172,12.226299891105489,0.9782551411481398,0.9669120724344873,controlled
160.0,465.824,7.070217492007445,7.437888218626172,12.226299891105489,1.1036344268039993,0.9669179682850663,controlled
161.0,466.861,7.115833501384441,7.437888218626172,12.226299891105489,0.9491738669801978,0.9669815807066447,controlled
162.0,468.142,7.100506169930858,7.437888218626172,12.226299891105489,1.0524628847647046,0.9668789432435045,controlled
163.0,468.932,7.13449300020111,7.437888218626172,12.226299891105489,1.0816828405115146,0.9668482243496664,controlled
164.0,469.977,7.162676417118255,7.437888218626172,12.226299891105489,0.9482387659863953,0.9668037880129142,controlled
165.0,471.004,7.206999932368159,7.437888218626172,12.226299891105489,0.7602502785630125,0.9667265614051169,controlled
166.0,472.343,7.183917801158778,7.437888218626172,12.226299891105489,0.8241252135524508,0.9667646505531852,controlled
167.0,473.219,7.14741059656733,7.437888218626172,12.226299891105489,0.8701176565378227,0.9667520345851199,controlled
168.0,474.147,7.1267140064581485,7.437888218626172,12.226299891105489,0.87785716728325,0.966756899597278,controlled
169.0,475.73,7.163259442871376,7.437888218626172,12.226299891105489,0.8006427642793529,0.9665941627899797,controlled
170.0,476.421,7.173232488028117,7.437888218626172,12.226299891105489,0.8462423216196784,0.9666695811142448,controlled
171.0,477.29,7.17362601570755,7.512423596846344,12.226299891105489,0.8604550998532773,0.9666809850172224,controlled
172.0,478.564,7.15777761869304,7.512423596846344,12.226299891105489,0.8465614744944493,0.9666084144047151,controlled
173.0,479.579,7.132847984083418,7.512423596846344,12.226299891105489,0.9760893412093912,0.9666354642983691,controlled
174.0,480.707,7.135086496782918,7.512423596846344,12.226299891105489,1.0118312922370927,0.9666299454689232,controlled
175.0,481.501,7.202217813599082,7.512423596846344,12.226299891105489,0.82825041837236,0.9666782812912591,controlled
176.0,482.832,7.133247319756776,7.512423596846344,12.226299891105489,1.0193333564909035,0.9666598071557684,controlled
177.0,484.17,7.09220128271565,7.512423596846344,12.226299891105489,1.2017235648758975,0.9667310671108041,controlled
178.0,485.336,7.1132840240198245,7.512423596846344,12.226299891105489,0.9900010124944522,0.9666056650935343,controlled
179.0,486.595,7.1088057469089625,7.512423596846344,12.226299891105489,0.9698922087562378,0.9665271488654974,controlled
180.0,487.149,7.084563259990886,7.512423596846344,12.226299891105489,1.1638299431206625,0.9665199569756043,controlled
181.0,488.275,7.103398106754277,7.512423596846344,12.226299891105489,1.0310398331680606,0.9665545263419979,controlled
182.0,488.804,7.108388786965057,7.540643561748155,12.226299891105489,1.095676465997759,0.9665475169272812,controlled
