generation_index,experiment_id,avg_body_length,avg_fitness,avg_highest_fitness,total_highest_fitness,std,nucleotide_usage
200.0,1,1357.93,4.800756503694588,4.83169841409805,4.83169841409805,0.3094191040346262,0.9455421597254065
200.0,2,647.82,3.6053415053331577,5.740965622688944,5.740965622688944,1.4366652706862972,0.9449037081422158
200.0,3,372.57,4.010340900505772,4.341898587225257,4.341898587225257,0.6853242936729668,0.9540052614933788
200.0,4,288.33,7.070850003608175,9.070051202584779,9.070051202584779,2.3632812413798727,0.9929624519050654
200.0,5,1308.86,3.809710882746878,6.107489764586553,6.107489764586553,1.34848403931111,0.9727774604035853
200.0,6,6494.56,4.54890544683878,4.599649480325663,4.599649480325663,0.38543549562337853,0.9763388842377251
200.0,7,287.75,5.8427438289998,5.8427438289998,5.8427438289998,0.0,0.8748518802024056
200.0,8,2360.65,3.1679418080857267,3.5648500433987906,3.5648500433987906,0.6156942588174978,0.9820951314431626
200.0,9,783.65,6.844540407200364,6.9683799731469165,6.9683799731469165,0.7559093982714105,0.9470963078674393
200.0,11,607.58,6.2484165595462455,7.315726252601511,7.315726252601511,1.763783728674329,0.9612939076126298
